aroma,body,flavor,roast_level,origin,est_price,rating
9.0,9.0,10.0,Medium-Light,"Worka Chelbesa, Gedeb District, Gedeo Zone, southern Ethiopia",$24.00/12 ounces,96.0
9.0,9.0,10.0,Medium-Light,"Jaramillo, Boquete, Panama",$98.00/125 grams,96.0
9.0,9.0,10.0,Medium-Light,"Marcala, Honduras",$30.00/150 grams,96.0
9.0,9.0,9.0,Medium-Light,"Worka Chelbesa, Gedeb District, Gedeo Zone, southern Ethiopia",$24.00/12 ounces,95.0
9.0,9.0,10.0,Light,"Haro Adam, Uraga, Guji Zone, Oromia Region, southern Ethiopia",$27.75/12 ounces,97.0
9.0,9.0,9.0,Medium-Light,"Jimma growing region, Oromia State, Ethiopia",$26.00/12 ounces,95.0
9.0,9.0,10.0,Medium-Light,"Sidamo growing region, southern Ethiopia",$26.00/12 ounces,96.0
8.0,9.0,8.0,Medium,"Sumatra, Indonesia",$17.00/500 grams,90.0
8.0,8.0,9.0,Medium,"Sumatra, Indonesia",$17.00/500 grams,91.0
9.0,9.0,9.0,Medium-Light,"Acevedo, Huila Department, Colombia",$25.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"San Marcos de Tarrazú, Tarrazú growing region, Costa Rica",$21.00/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Odo Shakiso District, Guji Zone, southern Ethiopia",$23.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Pijao, Quindio Department, Colombia",$28.75/100 grams,95.0
9.0,9.0,9.0,Light,"Manizales, Caldas Department, Colombia",$27.00/150 grams,93.0
9.0,9.0,9.0,Light,"La Argentina, St. Augustin, Huila Department, Colombia",$27.00/150 grams,93.0
9.0,8.0,9.0,Light,"Kirinyaga County, Kenya",$23.00/150 grams,94.0
9.0,9.0,10.0,Light,"Quindio Department, Colombia",$30.00/150 grams,96.0
9.0,8.0,9.0,Medium-Light,Ethiopia; other undisclosed origins,$16.95/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$28.00/.12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Kirinyaga County, Kenya",$28.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Oporapa, Huila Department, Colombia",$32.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"San Augustin, Huila Department, Colombia",$25.00/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"San Sebastian De La Plata, Huila Department, Colombia",$29.00/6 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",$28.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Holualoa, North Kona growing district, Hawai’i Island, Hawai’i",$40.00/6 ounces,95.0
9.0,8.0,10.0,Light,"Piendamó, Cauca Department, Colombia",$40.00/8 ounces,95.0
9.0,9.0,10.0,Medium-Light,"Piendamó, Cauca Department, Colombia",$26.00/8 ounces,97.0
8.0,9.0,9.0,Medium-Light,"Tarrazu, Costa Rica",$23.00/10.9 ounces,93.0
9.0,9.0,9.0,Light,"Boquete growing region, western Panama",$99.95/170 grams,94.0
8.0,8.0,9.0,Light,Not disclosed,$21.00/10.9 ounces,92.0
9.0,9.0,9.0,Medium-Light,"El Limón, Mixteca, Oaxaca, Mexico",$21.00/10.9 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Huehuetenango Department, Guatemala",$23.00/10.9 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$30.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,Not disclosed,$21.00/10.9 ounces,93.0
9.0,9.0,9.0,Light,"Gedeo Zone, SNNPR, southern Ethiopia",NT $330/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $350/8 ounces,94.0
